Rack,Source
5,A10
5,A11
5,A12
5,B01
5,B02
5,B03
5,B04
5,B05
5,B06
5,B07
5,B08
5,B09
5,B10
5,B11
5,B12
5,C01
5,C02
5,C03
5,C04
5,C05
5,C06
5,C07
5,C08
5,C09
5,C10
5,C11
5,C12
5,D01
5,D02
5,D03
5,D04
5,D05
5,D06
5,D07
5,D08
5,D09
5,D10
5,D11
5,D12
5,E01
5,E02
5,E03
5,E04
5,E05
5,E06
5,E07
5,E08
5,E09
5,E10
5,E11
5,E12
5,F01
5,F02
5,F03
5,F04
5,F05
5,F06
5,F07
5,F08
5,F09
5,F10
5,F11
5,F12
5,G01
5,G02
5,G03
5,G04
5,G05
5,G06
5,G07
5,G08
5,G09
5,G10
5,G11
5,G12
5,H01
5,H02
5,H03
5,H04
5,H05
5,H06
5,H07
5,H08
5,H09
5,H10
6,A01
6,A02
6,A03
6,A04
6,A05
6,A06
6,A07
6,A08
6,A09
6,A10
6,A11
6,A12
6,B01
6,B02
6,B03
6,B04
6,B05
6,B06
6,B07
6,B08
6,B09
6,B10
6,B11
6,B12
6,C01
6,C02
6,C03
6,C04
6,C05
6,C06
6,C07
6,C08
6,C09
6,C10
6,C11
6,C12
6,D01
6,D02
6,D03
6,D04
6,D05
6,D06
6,D07
6,D08
6,D09
6,D10
6,D11
6,D12
6,E01
6,E02
6,E03
6,E04
6,E05
6,E06
6,E07
6,E08
6,E09
6,E10
6,E11
6,E12
6,F01
6,F02
6,F03
6,F04
6,F05
6,F06
6,F07
6,F08
6,F09
6,F10
6,F11
6,F12
6,G01
6,G02
6,G03
6,G04
6,G05
6,G06
6,G07
6,G08
6,G09
6,G10
6,G11
6,G12
6,H01
6,H02
6,H03
6,H04
6,H05
6,H06
6,H07
6,H08
6,H09
6,H10
